"caption","tags","author","status","image","category"
"I put the “Pro” in procrastinate.","procrastinate, attitude, anger","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/1.jpg",""
"Fear is stupid. So are regrets.","fear, regreats","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/2.jpg",""
"Create your own sunshine.","sunrise, confidence","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/3.jpg",""
"Life is simple. It’s just not easy.","life, happy","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/4.jpg",""
"Start somewhere.","business, startup","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/5.jpg",""
"Better an oooops, than a what if.","procrastinate, attitude, anger","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/6.jpg",""
"Life is too short for bad vibes.","fear, regreats","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/1.jpg",""
"I feel butter, err better","sunrise, confidence","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/2.jpg",""
"It’s lit.","life, happy","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/3.jpg",""
"Between my legs is where I like you best.","business, startup","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/4.jpg",""
"Fresher than you.","procrastinate, attitude, anger","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/5.jpg",""
"Study now. Love later.","fear, regreats","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/6.jpg",""
"You couldn’t handle me if I came with instructions.","sunrise, confidence","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/1.jpg",""
"Not everyone likes me, but not everyone matters.","life, happy","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/2.jpg",""
"I came. I saw. I made it awkward.","business, startup","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/3.jpg",""
"Only dead fish go with the flow.","procrastinate, attitude, anger","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/4.jpg",""
"Just chilling.","fear, regreats","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/5.jpg",""
"Besides chocolate, you’re my favorite!","sunrise, confidence","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/6.jpg",""
"There may be no excuse for laziness, but I’m still looking.","life, happy","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/1.jpg",""
"Forgive, yes. Forget, never.","business, startup","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/2.jpg",""
"I was born to stand out.","procrastinate, attitude, anger","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/3.jpg",""
"I do what I want.","fear, regreats","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/4.jpg",""
"Make it happen. Shock everyone.","sunrise, confidence","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/5.jpg",""
"I don’t always study, but when I do, I don’t.","life, happy","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/6.jpg",""
"Can you just listen to me?","business, startup","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/1.jpg",""
"Notice me, please.","procrastinate, attitude, anger","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/2.jpg",""
"Never too old for anything.","fear, regreats","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/3.jpg",""
"Weekend, please don’t leave me.","sunrise, confidence","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/4.jpg",""
"Life goes on, with or without you.","life, happy","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/5.jpg",""
"No one will ever love you the way I do.","business, startup","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/6.jpg",""
"The sun is so bright; it reminds me of you.","procrastinate, attitude, anger","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/1.jpg",""
"Come listen to the rain with me.","fear, regreats","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/2.jpg",""
"Will our memories survive?","sunrise, confidence","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/3.jpg",""
"Happy mind, happy life.","life, happy","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/4.jpg",""
"11:11 – You are my wish.","business, startup","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/5.jpg",""
"One day or day one? You decide.","procrastinate, attitude, anger","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/6.jpg",""
"Your smile is as bright as the sun.","fear, regreats","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/1.jpg",""
"Let us get lost in the sunset together.","sunrise, confidence","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/2.jpg",""
"Stop dreaming and start doing.","life, happy","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/3.jpg",""
"When you can’t find the sunshine, be the sunshine.","business, startup","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/4.jpg",""
"I must destroy you with hugs and kisses.","procrastinate, attitude, anger","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/5.jpg",""
"Don’t stop until you’re proud.","fear, regreats","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/6.jpg",""
"I just want to be happy.","sunrise, confidence","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/1.jpg",""
"You said you’d always be here.","life, happy","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/2.jpg",""
"Come sleep next to me.","business, startup","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/3.jpg",""
"You’re coming back, right?","procrastinate, attitude, anger","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/4.jpg",""
"At least we’re under the same sky.","fear, regreats","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/5.jpg",""
"I am a daydreamer and a night-thinker.","sunrise, confidence","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/6.jpg",""
"You is kind. You is smart. You is important.","life, happy","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/1.jpg",""
"Bored AF.","business, startup","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/2.jpg",""
"Let’s fall in love again.","procrastinate, attitude, anger","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/3.jpg",""
"You are my favorite distraction.","fear, regreats","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/4.jpg",""
"I miss you.","sunrise, confidence","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/5.jpg",""
"You’re the best!","life, happy","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/6.jpg",""
"All I do is think of you.","business, startup","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/1.jpg",""
"I miss you like the summer season.","procrastinate, attitude, anger","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/2.jpg",""
"I look for you in everyone.","fear, regreats","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/3.jpg",""
"Your smile is a blessing.","sunrise, confidence","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/4.jpg",""
"Show anyone, and I’ll kill you.","life, happy","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/5.jpg",""
"I only sent this to you. That’s how special you are.","business, startup","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/6.jpg",""
"I want you to want me.","procrastinate, attitude, anger","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/1.jpg",""
"You deserve better.","fear, regreats","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/2.jpg",""
"Be happy. It drives people crazy.","sunrise, confidence","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/3.jpg",""
"Sunday mornings are meant for you and me.","life, happy","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/4.jpg",""
"It’s been a while since I’ve seen your face.","business, startup","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/5.jpg",""
"I’m drowning, and you can’t even see.","procrastinate, attitude, anger","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/6.jpg",""
"As free as a bird.","fear, regreats","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/1.jpg",""
"I’m sorry I exist.","sunrise, confidence","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/2.jpg",""
"Wishing you were here.","life, happy","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/3.jpg",""
"Why so serious?","business, startup","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/4.jpg",""
"Music on—world OFF!","procrastinate, attitude, anger","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/5.jpg",""
"You make me happy in a way no one else can.","fear, regreats","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/6.jpg",""
"I miss your voice.","sunrise, confidence","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/1.jpg",""
"Sleep tight.","life, happy","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/2.jpg",""
"I woke up like this.","business, startup","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/3.jpg",""
"What have I become?","procrastinate, attitude, anger","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/4.jpg",""
"I’ve been having a lot of bad days lately.","fear, regreats","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/5.jpg",""
"Why did you leave me alone?","sunrise, confidence","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/6.jpg",""
"I get tired of being me sometimes.","life, happy","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/1.jpg",""
"I hate that I’m still hoping.","business, startup","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/2.jpg",""
"I see you in my dreams.","procrastinate, attitude, anger","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/3.jpg",""
"Do you have a name or can I call you mine?","fear, regreats","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/4.jpg",""
"Thank you for making me feel less alone.","sunrise, confidence","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/5.jpg",""
"I just want to be the person you miss at 3 a.m.","life, happy","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/6.jpg",""
"11:11 – I still waste my wishes on you.","business, startup","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/1.jpg",""
"You have every right to a beautiful life.","procrastinate, attitude, anger","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/2.jpg",""
"You hear music when broken.","fear, regreats","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/3.jpg",""
"I can’t find my place in this world.","sunrise, confidence","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/4.jpg",""
"I like people I can have comfortable silences with.","life, happy","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/5.jpg",""
"Stay with me.","business, startup","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/6.jpg",""
"It’s cold, and I need your warmth.","procrastinate, attitude, anger","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/1.jpg",""
"I like you.","fear, regreats","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/2.jpg",""
"I just wanted to say that you’re AWESOME!","sunrise, confidence","StoryPlus","approve","https://s3.ap-south-1.amazonaws.com/captionplus/storyplus/3.jpg",""
